,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
0,2019-01-02,sh.600958,8.4994903400,8.6058669400,8.3824760800,8.5633163000,8.4782150200,15596007,124733333.0000,1,0.274705,1,1.003769,0
1,2019-01-03,sh.600958,8.5739539600,9.0526486600,8.4994903400,8.7654318400,8.5633163000,33086602,274459674.0000,1,0.582781,1,2.360243,0
2,2019-01-04,sh.600958,8.6484175800,9.5632563400,8.6271422600,9.3930537800,8.7654318400,51308901,441970787.0000,1,0.903746,1,7.160196,0
3,2019-01-07,sh.600958,9.4462420800,9.4568797400,9.1483876000,9.2228512200,9.3930537800,36049463,314426570.0000,1,0.634969,1,-1.812003,0
4,2019-01-08,sh.600958,9.1696629200,9.4143291000,9.0739239800,9.2228512200,9.2228512200,25687357,223143849.0000,1,0.452452,1,0.000000,0
5,2019-01-09,sh.600958,9.2228512200,9.3824161200,9.0739239800,9.0739239800,9.2228512200,38576731,334317570.0000,1,0.679484,1,-1.614768,0
6,2019-01-10,sh.600958,9.0632863200,9.1164746200,8.7973448200,8.8718084400,9.0739239800,35519416,298389420.0000,1,0.625633,1,-2.227428,0
7,2019-01-11,sh.600958,8.8398954600,8.8930837600,8.6696929000,8.7228812000,8.8718084400,49227433,405101231.0000,1,0.867083,1,-1.678661,0
8,2019-01-14,sh.600958,8.7867071600,8.8505331200,8.7016058800,8.7335188600,8.7228812000,20835038,171570826.0000,1,0.366985,1,0.121954,0
9,2019-01-15,sh.600958,8.7547941800,9.0100980200,8.6909682200,8.9037214200,8.7335188600,35934644,300175268.0000,1,0.632946,1,1.948841,0
10,2019-01-16,sh.600958,8.9143590800,9.1271122800,8.8824461000,8.9994603600,8.9037214200,37978714,321703446.0000,1,0.668950,1,1.075271,0
11,2019-01-17,sh.600958,8.9675473800,8.9888227000,8.7441565200,8.7547941800,8.9994603600,32945552,273562718.0000,1,0.580297,1,-2.718682,0
12,2019-01-18,sh.600958,8.7760695000,8.9143590800,8.7335188600,8.8718084400,8.7547941800,25133916,208782127.0000,1,0.442704,1,1.336581,0
13,2019-01-21,sh.600958,8.8824461000,8.9994603600,8.8079824800,8.9249967400,8.8718084400,24867016,207742130.0000,1,0.438003,1,0.599523,0
14,2019-01-22,sh.600958,8.8611707800,8.9569097200,8.8079824800,8.8505331200,8.9249967400,18864959,157433245.0000,1,0.332284,1,-0.834334,0
15,2019-01-23,sh.600958,8.8292578000,8.8930837600,8.7228812000,8.7441565200,8.8505331200,15534404,128234208.0000,1,0.273620,1,-1.201916,0
16,2019-01-24,sh.600958,8.8186201400,8.9569097200,8.7547941800,8.8718084400,8.7441565200,24947422,207973677.0000,1,0.439419,1,1.459853,0
17,2019-01-25,sh.600958,8.8292578000,8.9037214200,8.8186201400,8.8292578000,8.8718084400,21560005,179591111.0000,1,0.379754,1,-0.479616,0
18,2019-01-28,sh.600958,8.8718084400,8.9781850400,8.7867071600,8.7973448200,8.8292578000,20912467,174625037.0000,1,0.368348,1,-0.361443,0
19,2019-01-29,sh.600958,8.7654318400,8.7654318400,8.4037514000,8.5739539600,8.7973448200,27277611,219353082.0000,1,0.480463,1,-2.539299,0
20,2019-01-30,sh.600958,8.5101280000,8.6271422600,8.4782150200,8.5101280000,8.5739539600,10287393,82741025.0000,1,0.181200,1,-0.744422,0
21,2019-01-31,sh.600958,8.5633163000,8.6803305600,8.4782150200,8.5207656600,8.5101280000,18539644,149455722.0000,1,0.326554,1,0.125003,0
22,2019-02-01,sh.600958,8.6271422600,9.0207356800,8.6271422600,9.0207356800,8.5207656600,34218409,284190062.0000,1,0.602717,1,5.867657,0
23,2019-02-11,sh.600958,9.1164746200,9.1590252600,8.9781850400,9.1271122800,9.0207356800,26286458,224179157.0000,1,0.463005,1,1.179250,0
24,2019-02-12,sh.600958,9.0845616400,9.3611408000,9.0420110000,9.2547642000,9.1271122800,31672464,273859493.0000,1,0.557873,1,1.398600,0
25,2019-02-13,sh.600958,9.2654018600,10.0525887000,9.1590252600,9.7653718800,9.2547642000,66965826,605172545.0000,1,1.179524,1,5.517247,0
26,2019-02-14,sh.600958,9.7121835800,9.9142991200,9.6909082600,9.8079225200,9.7653718800,44613088,411630313.0000,1,0.785807,1,0.435729,0
27,2019-02-15,sh.600958,9.7760095400,9.9781250800,9.7121835800,9.7440965600,9.8079225200,39524032,365481747.0000,1,0.696169,1,-0.650764,0
28,2019-02-18,sh.600958,9.8611108200,10.4780951000,9.8504731600,10.4355444600,9.7440965600,64865876,622735473.0000,1,1.142536,1,7.096076,0
29,2019-02-19,sh.600958,10.4249068000,11.4780351400,10.4036314800,11.1376300200,10.4355444600,155234286,1635663941.0000,1,2.734269,1,6.727827,0
30,2019-02-20,sh.600958,11.0418910800,11.1589053400,10.7014859600,10.9674274600,11.1376300200,82391742,848222908.0000,1,1.451233,1,-1.528174,0
31,2019-02-21,sh.600958,10.8823261800,12.0631064400,10.8397755400,11.4354845000,10.9674274600,109523646,1175180225.0000,1,1.929130,1,4.267697,0
32,2019-02-22,sh.600958,11.4993104600,12.5737141200,11.2652819400,12.4460622000,11.4354845000,152200960,1712698567.0000,1,2.680840,1,8.837208,0
33,2019-02-25,sh.600958,13.0736841400,13.6906684200,13.0417711600,13.6906684200,12.4460622000,146765889,1855179853.0000,1,2.585108,1,10.000000,0
34,2019-02-26,sh.600958,14.3076527000,14.6799708000,13.2226113800,13.2226113800,13.6906684200,169151728,2227147208.0000,1,2.979408,1,-3.418800,0
35,2019-02-27,sh.600958,13.2226113800,13.8076826800,13.0098581800,13.4885528800,13.2226113800,101047512,1278063466.0000,1,1.779833,1,2.011263,0
