,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
0,2019-01-02,sh.600291,25.1857763000,25.3813939800,24.9168019900,25.0390630400,25.1613240900,3456418,35435163.0000,1,0.353095,1,-0.485911,0
1,2019-01-03,sh.600291,25.0879674600,26.6040044800,25.0390630400,26.0171514400,25.0390630400,11030270,117053724.0000,1,1.126813,1,3.906255,0
2,2019-01-04,sh.600291,25.6748205000,28.0711370800,25.5770116600,27.4353796200,26.0171514400,18491186,204187846.0000,1,1.888994,1,5.451127,0
3,2019-01-07,sh.600291,27.8266149800,27.8266149800,26.7751699500,27.1419531000,27.4353796200,13526300,149916762.0000,1,1.381799,1,-1.069518,0
4,2019-01-08,sh.600291,26.9218832100,27.0930486800,26.4328390100,26.9952398400,27.1419531000,9101092,99848145.0000,1,0.929735,1,-0.540544,0
5,2019-01-09,sh.600291,26.9952398400,27.5087362500,26.9463354200,26.9463354200,26.9952398400,10734474,119816027.0000,1,1.096596,1,-0.181155,0
6,2019-01-10,sh.600291,26.8974310000,26.8974310000,26.4328390100,26.4328390100,26.9463354200,6313900,68717700.0000,1,0.645006,1,-1.905626,0
7,2019-01-11,sh.600291,26.4083868000,26.9707876300,26.4083868000,26.6529089000,26.4328390100,4431428,48357246.0000,1,0.452699,1,0.832555,0
8,2019-01-14,sh.600291,26.7018133200,26.8240743700,26.4083868000,26.4328390100,26.6529089000,3242448,35174151.0000,1,0.331237,1,-0.825681,0
9,2019-01-15,sh.600291,26.6284566900,27.0930486800,26.5061956400,27.0685964700,26.4328390100,7753489,85120624.0000,1,0.792069,1,2.405174,0
10,2019-01-16,sh.600291,27.0685964700,27.0685964700,26.7018133200,26.7262655300,27.0685964700,4493394,49274372.0000,1,0.459029,1,-1.264674,0
11,2019-01-17,sh.600291,26.7262655300,27.0196920500,26.4083868000,26.4083868000,26.7262655300,6707500,73188667.0000,1,0.685214,1,-1.189388,0
12,2019-01-18,sh.600291,26.4817434300,26.9218832100,26.3105779600,26.8485265800,26.4083868000,6621408,72280958.0000,1,0.676419,1,1.666661,0
13,2019-01-21,sh.600291,26.8240743700,27.0685964700,26.5306478500,26.6284566900,26.8485265800,6961720,76282174.0000,1,0.711185,1,-0.819665,0
14,2019-01-22,sh.600291,26.5795522700,26.7018133200,25.8704381800,25.9682470200,26.6284566900,5885184,63313158.0000,1,0.601209,1,-2.479343,0
15,2019-01-23,sh.600291,25.9193426000,26.0660558600,25.7237249200,25.8948903900,25.9682470200,3241253,34320438.0000,1,0.331115,1,-0.282483,0
16,2019-01-24,sh.600291,25.7726293400,26.3350301700,25.7237249200,26.0171514400,25.8948903900,4767875,50733419.0000,1,0.487069,1,0.472145,0
17,2019-01-25,sh.600291,26.0416036500,26.9463354200,25.9193426000,26.2861257500,26.0171514400,8327897,89971957.0000,1,0.850748,1,1.033831,0
18,2019-01-28,sh.600291,26.5306478500,26.9707876300,25.9193426000,25.9193426000,26.2861257500,6678759,72391334.0000,1,0.682278,1,-1.395345,0
19,2019-01-29,sh.600291,25.7481771300,27.8021627700,25.7237249200,27.1175008900,25.9193426000,21533650,237433848.0000,1,2.199801,1,4.622639,0
20,2019-01-30,sh.600291,26.7751699500,27.0196920500,26.4083868000,26.4083868000,27.1175008900,8813590,96258424.0000,1,0.900365,1,-2.614968,0
21,2019-01-31,sh.600291,26.2616735400,27.2642141500,26.2616735400,27.0196920500,26.4083868000,12423646,136597762.0000,1,1.269155,1,2.314815,0
22,2019-02-01,sh.600291,26.8974310000,27.2397619400,26.6529089000,27.1908575200,27.0196920500,10415583,114849916.0000,1,1.064019,1,0.633481,0
23,2019-02-11,sh.600291,26.9952398400,27.6554495100,26.9463354200,27.6065450900,27.1908575200,10315365,115263438.0000,1,0.943711,1,1.528778,0
24,2019-02-12,sh.600291,27.5331884600,27.7043539300,27.2886663600,27.6554495100,27.6065450900,11597525,130463484.0000,1,1.061010,1,0.177152,0
25,2019-02-13,sh.600291,27.7288061400,28.4868246500,27.4598318300,28.1689459200,27.6554495100,18192660,208508007.0000,1,1.664372,1,1.856764,0
26,2019-02-14,sh.600291,28.0466848700,28.1689459200,27.6554495100,27.7777105600,28.1689459200,12039900,137040419.0000,1,1.101481,1,-1.388896,0
27,2019-02-15,sh.600291,27.7532583500,27.8510671900,27.2153097300,27.2886663600,27.7777105600,11807589,132628247.0000,1,1.080228,1,-1.760562,0
28,2019-02-18,sh.600291,27.3864752000,29.0003210600,27.3864752000,28.7557989600,27.2886663600,26777095,309538542.0000,1,2.449727,1,5.376348,0
29,2019-02-19,sh.600291,28.8047033800,31.6411597400,28.5357290700,31.6411597400,28.7557989600,68804953,868256098.0000,1,6.294684,1,10.034010,0
30,2019-02-20,sh.600291,31.5433509000,31.6900641600,30.7119757600,31.2743765900,31.6411597400,35288795,449858392.0000,1,3.228428,1,-1.159193,0
31,2019-02-21,sh.600291,31.1032111200,33.3772666500,30.7608801800,31.7878730000,31.2743765900,53941201,707110104.0000,1,4.934860,1,1.641908,0
32,2019-02-22,sh.600291,31.9101340500,34.9666603000,31.3477332200,34.8199470400,31.7878730000,50913446,690834214.0000,1,4.657863,1,9.538460,0
33,2019-02-25,sh.600291,36.3848884800,38.2921608600,35.5046089200,38.2921608600,34.8199470400,65472201,994355584.0000,1,5.989785,1,9.971910,0
34,2019-02-26,sh.600291,38.2921608600,38.9523705300,36.1403663800,36.2137230100,38.2921608600,62879163,959235968.0000,1,5.752558,1,-5.427838,0
35,2019-02-27,sh.600291,35.5535133400,37.9498299200,35.5535133400,36.7027672100,36.2137230100,47604081,716239434.0000,1,4.355103,1,1.350438,0
36,2019-02-28,sh.600291,36.5316017400,36.5316017400,34.4776161000,34.8443992500,36.7027672100,29029051,418096883.0000,1,2.655749,1,-5.063293,0
37,2019-03-01,sh.600291,35.4312522900,37.3629768800,34.8443992500,36.9961937300,34.8443992500,40377864,594464623.0000,1,3.694006,1,6.175439,0
38,2019-03-04,sh.600291,37.6074989800,40.5417641800,36.4582451100,38.2432564400,36.9961937300,66943865,1054378400.0000,1,6.124421,1,3.370788,0
39,2019-03-05,sh.600291,37.4118813000,39.0257271600,36.9717415200,38.2677086500,38.2432564400,38622689,597539170.0000,1,3.533432,1,0.063934,0
40,2019-03-06,sh.600291,37.7786644500,40.2238854500,37.5341423500,40.0282677700,38.2677086500,55097559,881789929.0000,1,5.040651,1,4.600646,0
41,2019-03-07,sh.600291,39.3680581000,40.1016244000,38.3410652800,38.8790139000,40.0282677700,47819441,765947137.0000,1,4.374806,1,-2.871113,0
42,2019-03-08,sh.600291,36.3848884800,37.2407158300,34.9911125100,34.9911125100,38.8790139000,50783476,750136037.0000,1,4.645973,1,-9.999995,0
43,2019-03-11,sh.600291,34.5998771500,36.1892708000,34.1352851600,35.9692009100,34.9911125100,28169225,407887568.0000,1,2.577087,1,2.795245,0
44,2019-03-12,sh.600291,36.2137230100,37.1184547800,35.4801567100,35.9447487000,35.9692009100,30300858,451759045.0000,1,2.772102,1,-0.067983,0
45,2019-03-13,sh.600291,36.4093406900,37.0206459400,35.4557045000,35.5779655500,35.9447487000,27257893,402720624.0000,1,2.493713,1,-1.020406,0
46,2019-03-14,sh.600291,34.8443992500,35.8224876500,33.6951453800,34.4287116800,35.5779655500,24592119,347858734.0000,1,2.249833,1,-3.230242,0
47,2019-03-15,sh.600291,34.6243293600,36.1403663800,34.6243293600,35.4068000800,34.4287116800,29022151,421956769.0000,1,2.655118,1,2.840906,0
48,2019-03-18,sh.600291,35.4068000800,36.3115318500,34.7465904100,36.2381752200,35.4068000800,25292800,368954529.0000,1,2.313935,1,2.348068,0
49,2019-03-19,sh.600291,36.1403663800,37.3874290900,35.7491310200,36.0181053300,36.2381752200,26462315,395187893.0000,1,2.420929,1,-0.607289,0
50,2019-03-20,sh.600291,35.6024177600,36.7516716300,34.9666603000,36.1403663800,36.0181053300,25880683,379376187.0000,1,2.367718,1,0.339445,0
51,2019-03-21,sh.600291,36.1892708000,37.0206459400,35.7735832300,36.3115318500,36.1403663800,30196452,450562910.0000,1,2.762550,1,0.473617,0
52,2019-03-22,sh.600291,35.9447487000,36.1892708000,34.9666603000,35.5779655500,36.3115318500,22923342,332503596.0000,1,2.097163,1,-2.020203,0
53,2019-03-25,sh.600291,34.7710426200,35.1867301900,34.2330940000,34.3798072600,35.5779655500,17635323,250521045.0000,1,1.613384,1,-3.367696,0
54,2019-03-26,sh.600291,34.7221382000,34.8199470400,32.7659614000,33.2550056000,34.3798072600,19035910,263408919.0000,1,1.741518,1,-3.271693,0
55,2019-03-27,sh.600291,33.4750754900,33.7195975900,32.8637702400,33.4261710700,33.2550056000,11968193,163373873.0000,1,1.094921,1,0.514704,0
56,2019-03-28,sh.600291,33.2550056000,33.6706931700,32.6437003500,32.8148658200,33.4261710700,12521056,169526230.0000,1,1.145500,1,-1.828822,0
57,2019-03-29,sh.600291,33.1327445500,34.8199470400,32.7659614000,34.7465904100,32.8148658200,28282354,394901527.0000,1,2.587437,1,5.886736,0
58,2019-04-01,sh.600291,34.9666603000,36.1159141700,34.5998771500,35.7491310200,34.7465904100,27328133,396997833.0000,1,2.500139,1,2.885291,0
59,2019-04-02,sh.600291,35.7002266000,36.9228371000,35.3334434500,35.8713920700,35.7491310200,28288812,416325792.0000,1,2.588028,1,0.341999,0
60,2019-04-03,sh.600291,35.5535133400,36.3604362700,35.2845390300,36.1892708000,35.8713920700,23027485,337379770.0000,1,2.106691,1,0.886163,0
61,2019-04-04,sh.600291,36.2870796400,37.4118813000,36.2381752200,36.7027672100,36.1892708000,32276756,487025916.0000,1,2.952869,1,1.418919,0
62,2019-04-08,sh.600291,36.8250282600,37.5341423500,35.3823478700,35.9936531200,36.7027672100,28212528,422878935.0000,1,2.581049,1,-1.932045,0
63,2019-04-09,sh.600291,35.9447487000,37.0450981500,35.7002266000,36.1892708000,35.9936531200,17844590,265205968.0000,1,1.632529,1,0.543478,0
64,2019-04-10,sh.600291,35.0889213500,35.6513221800,34.6487815700,34.9911125100,36.1892708000,24274422,347884392.0000,1,2.220768,1,-3.310809,0
