,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
0,2019-01-02,sh.600469,6.5497748500,6.5866749900,6.4944246400,6.5497748500,6.5128747100,1507906,5345968.0000,1,0.268114,1,0.566572,0
1,2019-01-03,sh.600469,6.5682249200,6.6604752700,6.5128747100,6.5128747100,6.5497748500,1496292,5327924.0000,1,0.266049,1,-0.563380,0
2,2019-01-04,sh.600469,6.5497748500,6.7527256200,6.5128747100,6.7527256200,6.5128747100,2515983,9101481.0000,1,0.447355,1,3.682723,0
3,2019-01-07,sh.600469,6.7527256200,7.0848268800,6.7527256200,6.9741264600,6.7527256200,3929223,14798550.0000,1,0.698636,1,3.278685,0
4,2019-01-08,sh.600469,6.9187762500,7.0110266000,6.8818761100,6.9556763900,6.9741264600,1916849,7222397.0000,1,0.340826,1,-0.264550,0
5,2019-01-09,sh.600469,7.0663768100,7.4722783500,7.0663768100,7.1955273000,6.9556763900,6873461,27216179.0000,1,1.222137,1,3.448279,0
6,2019-01-10,sh.600469,7.1217270200,7.2139773700,7.0110266000,7.0848268800,7.1955273000,3531152,13564624.0000,1,0.627857,1,-1.538466,0
7,2019-01-11,sh.600469,7.0294766700,7.1586271600,7.0294766700,7.0848268800,7.0848268800,1580210,6081760.0000,1,0.280970,1,0.000000,0
8,2019-01-14,sh.600469,7.1586271600,7.5276285600,7.1586271600,7.3431278600,7.0848268800,5488430,21977371.0000,1,0.975871,1,3.645836,0
9,2019-01-15,sh.600469,7.3800280000,7.4353782100,7.1586271600,7.2877776500,7.3431278600,3125506,12325589.0000,1,0.555731,1,-0.753768,0
10,2019-01-16,sh.600469,7.2508775100,7.3984780700,7.1770772300,7.1955273000,7.2877776500,2341796,9202217.0000,1,0.416384,1,-1.265822,0
11,2019-01-17,sh.600469,7.1401770900,7.2693275800,7.0479267400,7.1032769500,7.1955273000,2601258,10082112.0000,1,0.462517,1,-1.282056,0
12,2019-01-18,sh.600469,7.1032769500,7.1955273000,7.0110266000,7.1032769500,7.1032769500,1647671,6369768.0000,1,0.292964,1,0.000000,0
13,2019-01-21,sh.600469,7.1032769500,7.2139773700,6.9925765300,7.0110266000,7.1032769500,3142051,12069322.0000,1,0.558673,1,-1.298700,0
14,2019-01-22,sh.600469,7.0848268800,7.3431278600,7.0479267400,7.2324274400,7.0110266000,4345250,16999009.0000,1,0.772608,1,3.157898,0
15,2019-01-23,sh.600469,7.1586271600,7.2139773700,7.0110266000,7.0479267400,7.2324274400,3081500,11840217.0000,1,0.547907,1,-2.551024,0
16,2019-01-24,sh.600469,7.0848268800,7.2508775100,7.0110266000,7.2324274400,7.0479267400,2427743,9418780.0000,1,0.431665,1,2.617805,0
17,2019-01-25,sh.600469,7.2139773700,7.2139773700,7.1032769500,7.1401770900,7.2324274400,1690558,6549996.0000,1,0.300590,1,-1.275515,0
