,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
0,2019-07-30,sh.603613,18.1600000000,21.7900000000,18.1600000000,21.7900000000,15.1300000000,41283,896653.0000,1,0.117200,1,44.018500,0
1,2019-07-31,sh.603613,23.9700000000,23.9700000000,23.9700000000,23.9700000000,21.7900000000,13656,327334.0000,1,0.038800,1,10.004600,0
2,2019-08-01,sh.603613,26.3700000000,26.3700000000,26.3700000000,26.3700000000,23.9700000000,25813,680689.0000,1,0.073300,1,10.012500,0
3,2019-08-02,sh.603613,29.0100000000,29.0100000000,29.0100000000,29.0100000000,26.3700000000,89108,2585023.0000,1,0.253100,1,10.011400,0
4,2019-08-05,sh.603613,31.9100000000,31.9100000000,31.9100000000,31.9100000000,29.0100000000,148362,4734231.0000,1,0.421400,1,9.996600,0
5,2019-08-06,sh.603613,35.1000000000,35.1000000000,35.1000000000,35.1000000000,31.9100000000,347353,12192090.0000,1,0.986500,1,9.996900,0
6,2019-08-07,sh.603613,38.6100000000,38.6100000000,38.6100000000,38.6100000000,35.1000000000,176060,6797677.0000,1,0.500000,1,10.000000,0
7,2019-08-08,sh.603613,42.4700000000,42.4700000000,42.4700000000,42.4700000000,38.6100000000,2565975,108976958.0000,1,7.287600,1,9.997400,0
8,2019-08-09,sh.603613,45.0500000000,46.7200000000,41.7200000000,41.9000000000,42.4700000000,25903041,1168888889.0000,1,73.567300,1,-1.342100,0
9,2019-08-12,sh.603613,40.0000000000,40.6500000000,37.7100000000,38.0800000000,41.9000000000,16597225,641701592.0000,1,47.137800,1,-9.116900,0
10,2019-08-13,sh.603613,37.9300000000,38.3800000000,36.8000000000,37.9900000000,38.0800000000,11014883,415102976.0000,1,31.283400,1,-0.236300,0
11,2019-08-14,sh.603613,38.4000000000,38.4900000000,37.1000000000,37.2000000000,37.9900000000,9358498,354500757.0000,1,26.579100,1,-2.079500,0
12,2019-08-15,sh.603613,35.2000000000,36.4800000000,34.6800000000,36.3000000000,37.2000000000,7778570,276747921.0000,1,22.091900,1,-2.419400,0
13,2019-08-16,sh.603613,35.9800000000,38.0000000000,35.7200000000,37.4600000000,36.3000000000,10848952,398996194.0000,1,30.812100,1,3.195600,0
14,2019-08-19,sh.603613,37.5700000000,40.3500000000,37.0700000000,39.4900000000,37.4600000000,10549986,406142448.0000,1,29.963000,1,5.419100,0
15,2019-08-20,sh.603613,39.6000000000,41.1000000000,37.9100000000,38.1600000000,39.4900000000,11258713,442877675.0000,1,31.975900,1,-3.367900,0
16,2019-08-21,sh.603613,37.7000000000,37.7000000000,35.8800000000,36.4700000000,38.1600000000,8191566,301549843.0000,1,23.264900,1,-4.428700,0
17,2019-08-22,sh.603613,36.5900000000,37.0600000000,36.1100000000,36.1600000000,36.4700000000,4688592,171396745.0000,1,13.316100,1,-0.850000,0
18,2019-08-23,sh.603613,36.2100000000,36.7600000000,35.4100000000,36.3700000000,36.1600000000,4530604,163588916.0000,1,12.867400,1,0.580700,0
19,2019-08-26,sh.603613,35.9900000000,37.5300000000,35.5000000000,37.5300000000,36.3700000000,4863186,179235566.0000,1,13.811900,1,3.189400,0
20,2019-08-27,sh.603613,37.5300000000,41.2800000000,37.4500000000,41.2800000000,37.5300000000,11416210,454205903.0000,1,32.423200,1,9.992000,0
21,2019-08-28,sh.603613,43.0200000000,45.4100000000,43.0100000000,45.4100000000,41.2800000000,10127798,454615828.0000,1,28.764000,1,10.004800,0
22,2019-08-29,sh.603613,48.5100000000,49.5000000000,42.0500000000,42.9600000000,45.4100000000,18229310,828321765.0000,1,51.773100,1,-5.395300,0
23,2019-08-30,sh.603613,43.3300000000,45.2000000000,42.6500000000,43.6000000000,42.9600000000,11407946,501212599.0000,1,32.399700,1,1.489800,0
24,2019-09-02,sh.603613,43.6000000000,47.9600000000,43.6000000000,47.9600000000,43.6000000000,8899654,413610042.0000,1,25.275900,1,10.000000,0
25,2019-09-03,sh.603613,49.8000000000,52.7600000000,48.5200000000,52.7600000000,47.9600000000,7927890,404862433.0000,1,22.516000,1,10.008300,0
26,2019-09-04,sh.603613,56.0000000000,58.0400000000,54.5800000000,58.0400000000,52.7600000000,4499241,255114627.0000,1,12.778300,1,10.007600,0
