,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
0,2019-01-02,sh.601888,130.5109120800,131.2655596800,126.9964104000,128.9369328000,129.7993872000,6918554,413201125.0000,1,0.354348,1,-0.664454,0
1,2019-01-03,sh.601888,128.5919510400,128.5919510400,121.8216840000,122.8566292800,128.9369328000,11204284,646870459.0000,1,0.573850,1,-4.715719,0
2,2019-01-04,sh.601888,120.8514228000,125.5086765600,120.1614592800,123.1153656000,122.8566292800,10628291,608741716.0000,1,0.544350,1,0.210598,0
3,2019-01-07,sh.601888,123.7190836800,126.3064468800,122.6625770400,125.2715016000,123.1153656000,8527659,492006161.0000,1,0.436761,1,1.751314,0
4,2019-01-08,sh.601888,124.6677835200,129.1525464000,124.4952926400,128.5057056000,125.2715016000,6179486,364318263.0000,1,0.316495,1,2.581756,0
5,2019-01-09,sh.601888,128.5272669600,134.8878681600,128.3978988000,131.3086824000,128.5057056000,12735112,782591798.0000,1,0.652255,1,2.181213,0
6,2019-01-10,sh.601888,131.2224369600,132.3867504000,128.9369328000,129.5837736000,131.3086824000,6127145,368794757.0000,1,0.313814,1,-1.313634,0
7,2019-01-11,sh.601888,130.2521757600,131.5242960000,128.8722487200,130.8343324800,129.5837736000,6314091,381817885.0000,1,0.323389,1,0.965061,0
8,2019-01-14,sh.601888,129.6915804000,130.7480870400,126.0477105600,126.3495696000,130.8343324800,5494164,324813994.0000,1,0.281395,1,-3.427821,0
9,2019-01-15,sh.601888,126.7807968000,131.4164892000,126.7807968000,131.0499460800,126.3495696000,9366754,561464028.0000,1,0.479737,1,3.720137,0
10,2019-01-16,sh.601888,131.5027346400,132.5592412800,129.3681600000,131.8045936800,131.0499460800,6866135,416962974.0000,1,0.351663,1,0.575851,0
11,2019-01-17,sh.601888,131.8692777600,131.8692777600,130.3384212000,131.0930688000,131.8045936800,4318003,262383103.0000,1,0.221155,1,-0.539836,0
12,2019-01-18,sh.601888,126.3495696000,129.2603532000,122.8997520000,128.1391624800,131.0930688000,22108460,1289356887.0000,1,1.132330,1,-2.253288,0
13,2019-01-21,sh.601888,128.3332147200,130.0150008000,127.8157420800,129.0878623200,128.1391624800,10890812,651326973.0000,1,0.557795,1,0.740364,0
14,2019-01-22,sh.601888,129.3250372800,129.3250372800,125.8967810400,126.9964104000,129.0878623200,6679861,394899035.0000,1,0.342123,1,-1.620173,0
15,2019-01-23,sh.601888,127.5354444000,128.5057056000,126.1339560000,127.4491989600,126.9964104000,4017503,236839251.0000,1,0.205765,1,0.356535,0
16,2019-01-24,sh.601888,114.9436101600,121.0023523200,114.9436101600,120.7436160000,127.4491989600,29959512,1643178981.0000,1,1.534437,1,-5.261378,0
17,2019-01-25,sh.601888,119.1265140000,123.1369269600,118.7168481600,121.6707544800,120.7436160000,11474568,647341062.0000,1,0.587693,1,0.767858,0
18,2019-01-28,sh.601888,121.8216840000,122.8350679200,117.8759551200,118.5874800000,121.6707544800,15847133,880517965.0000,1,0.811643,1,-2.534114,0
19,2019-01-29,sh.601888,117.8759551200,120.8514228000,117.5094120000,120.4633183200,118.5874800000,9153897,508052321.0000,1,0.468835,1,1.581816,0
20,2019-01-30,sh.601888,120.3123888000,120.3123888000,116.4529053600,117.2937984000,120.4633183200,16884343,924973816.0000,1,0.864766,1,-2.631103,0
21,2019-01-31,sh.601888,116.8625712000,118.2640596000,115.0298556000,117.5094120000,117.2937984000,11352476,616159751.0000,1,0.581440,1,0.183821,0
22,2019-02-01,sh.601888,118.1562528000,118.3718664000,115.3532760000,117.5094120000,117.5094120000,14050037,762606688.0000,1,0.719601,1,0.000000,0
23,2019-02-11,sh.601888,117.5956574400,126.3064468800,117.5956574400,125.2715016000,117.5094120000,17199642,976426364.0000,1,0.880915,1,6.605502,0
24,2019-02-12,sh.601888,124.6246608000,126.7807968000,123.5465928000,125.4439924800,125.2715016000,9422177,546344309.0000,1,0.482576,1,0.137697,0
25,2019-02-13,sh.601888,125.4439924800,130.1228076000,125.4439924800,129.3681600000,125.4439924800,13280446,791592377.0000,1,0.680185,1,3.128222,0
26,2019-02-14,sh.601888,129.7562644800,134.7153772800,128.4625828800,133.3138888800,129.3681600000,12284213,754212904.0000,1,0.629161,1,3.050003,0
27,2019-02-15,sh.601888,133.0335912000,134.4566409600,128.0529170400,128.5272669600,133.3138888800,11697514,705478233.0000,1,0.599112,1,-3.590492,0
28,2019-02-18,sh.601888,130.1443689600,132.5376799200,130.0150008000,132.1064527200,128.5272669600,11972979,729172991.0000,1,0.613220,1,2.784767,0
29,2019-02-19,sh.601888,131.5674187200,134.0685364800,131.2008756000,132.6023640000,132.1064527200,8757951,537148427.0000,1,0.448556,1,0.375387,0
