,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
0,2019-01-02,sh.603676,11.5402270000,11.5402270000,11.2893525000,11.3094224600,11.3094224600,899800,10200310.0000,1,1.349825,1,0.000000,0
1,2019-01-03,sh.603676,11.3094224600,11.3997372800,10.8979882800,10.9682331400,11.3094224600,1742557,19153423.0000,1,2.614078,1,-3.016860,0
2,2019-01-04,sh.603676,10.9180582400,11.1187578400,10.7374286000,11.0685829400,10.9682331400,2314100,25227152.0000,1,3.471472,1,0.914908,0
3,2019-01-07,sh.603676,11.1588977600,11.2692825400,11.0384780000,11.2090726600,11.0685829400,2005300,22277350.0000,1,3.008229,1,1.269269,0
4,2019-01-08,sh.603676,11.3094224600,11.3094224600,11.0886529000,11.2692825400,11.2090726600,1718385,19168642.0000,1,2.577817,1,0.537148,0
5,2019-01-09,sh.603676,11.2492125800,11.3997372800,11.1588977600,11.2492125800,11.2692825400,2264015,25501572.0000,1,3.396338,1,-0.178090,0
6,2019-01-10,sh.603676,11.2592475600,11.3194574400,11.1087228600,11.1287928200,11.2492125800,1641600,18334046.0000,1,2.462629,1,-1.070472,0
7,2019-01-11,sh.603676,11.1388278000,11.2291426200,11.0184080400,11.2090726600,11.1287928200,1613900,17920481.0000,1,2.421075,1,0.721370,0
8,2019-01-14,sh.603676,11.3395274000,11.3395274000,11.1187578400,11.1689327400,11.2090726600,1369943,15293386.0000,1,2.055105,1,-0.358102,0
9,2019-01-15,sh.603676,11.1689327400,11.2793175200,11.0585479600,11.2492125800,11.1689327400,1609800,17919463.0000,1,2.414924,1,0.718777,0
10,2019-01-16,sh.603676,11.2391776000,12.2226056400,11.1890027000,11.7609965600,11.2492125800,5998165,69801724.0000,1,8.998083,1,4.549511,0
11,2019-01-17,sh.603676,11.5803669200,11.6907517000,11.3294924200,11.3796673200,11.7609965600,3536570,40456046.0000,1,5.305347,1,-3.242322,0
12,2019-01-18,sh.603676,11.3997372800,11.7609965600,11.2993874800,11.5402270000,11.3796673200,2685200,30868827.0000,1,4.028174,1,1.410933,0
13,2019-01-21,sh.603676,11.5201570400,11.7308916200,11.3997372800,11.5000870800,11.5402270000,2175600,24984775.0000,1,3.263703,1,-0.347826,0
14,2019-01-22,sh.603676,11.4198072400,11.4699821400,11.1990376800,11.2291426200,11.5000870800,2242400,25184010.0000,1,3.363912,1,-2.356025,0
