,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
0,2019-01-02,sh.600515,9.1759948000,9.3302132000,9.0796083000,9.1567175000,9.0796083000,4862688,23188034.0000,1,0.293234,1,0.849256,0
1,2019-01-03,sh.600515,9.1759948000,9.2338267000,8.9639445000,9.1567175000,9.1567175000,3659172,17324545.0000,1,0.220659,1,0.000000,0
2,2019-01-04,sh.600515,9.0217764000,9.3687678000,8.9446672000,9.3687678000,9.1567175000,6499866,31172072.0000,1,0.391961,1,2.315792,0
3,2019-01-07,sh.600515,9.4651543000,9.5422635000,9.3880451000,9.4844316000,9.3687678000,4972238,24443288.0000,1,0.299840,1,1.234567,0
4,2019-01-08,sh.600515,9.4651543000,9.5229862000,9.4073224000,9.4844316000,9.4844316000,4258290,20910410.0000,1,0.256787,1,0.000000,0
5,2019-01-09,sh.600515,9.5037089000,9.7157592000,9.4651543000,9.5037089000,9.4844316000,6082316,30253183.0000,1,0.366781,1,0.203247,0
6,2019-01-10,sh.600515,9.5422635000,9.6000954000,9.4651543000,9.4651543000,9.5037089000,3962810,19574172.0000,1,0.238969,1,-0.405679,0
7,2019-01-11,sh.600515,9.4844316000,9.5808181000,9.4458770000,9.5615408000,9.4651543000,3653462,18037709.0000,1,0.220314,1,1.018334,0
8,2019-01-14,sh.600515,9.5808181000,9.6964819000,9.5422635000,9.5615408000,9.5615408000,4521976,22555859.0000,1,0.272688,1,0.000000,0
9,2019-01-15,sh.600515,9.5037089000,9.9085322000,9.4651543000,9.8507003000,9.5615408000,10481671,52971778.0000,1,0.632075,1,3.024195,0
10,2019-01-16,sh.600515,9.7157592000,9.8314230000,9.6579273000,9.7350365000,9.8507003000,6580770,33205076.0000,1,0.396839,1,-1.174167,0
11,2019-01-17,sh.600515,9.7543138000,9.8699776000,9.6386500000,9.6579273000,9.7350365000,5681402,28689230.0000,1,0.342605,1,-0.792078,0
12,2019-01-18,sh.600515,9.6579273000,9.7350365000,9.4073224000,9.5808181000,9.6579273000,7335001,36401724.0000,1,0.442322,1,-0.798412,0
13,2019-01-21,sh.600515,9.5808181000,9.6964819000,9.5615408000,9.6193727000,9.5808181000,5949800,29744272.0000,1,0.358790,1,0.402414,0
14,2019-01-22,sh.600515,9.6964819000,10.0627506000,9.6193727000,9.8699776000,9.6193727000,16269361,83517553.0000,1,0.981089,1,2.605213,0
15,2019-01-23,sh.600515,9.7350365000,9.7735911000,9.4651543000,9.5422635000,9.8699776000,11326557,56335869.0000,1,0.683024,1,-3.320314,0
16,2019-01-24,sh.600515,9.4458770000,9.5037089000,9.2145494000,9.3494905000,9.5422635000,11901575,57646959.0000,1,0.717699,1,-2.020200,0
17,2019-01-25,sh.600515,9.3109359000,9.3687678000,9.2531040000,9.2531040000,9.3494905000,4929405,23814119.0000,1,0.297257,1,-1.030922,0
18,2019-01-28,sh.600515,9.3109359000,9.3302132000,9.1181629000,9.1374402000,9.2531040000,4745330,22795107.0000,1,0.286157,1,-1.250009,0
19,2019-01-29,sh.600515,9.1952721000,9.1952721000,8.8675580000,8.9832218000,9.1374402000,5414964,25248672.0000,1,0.326538,1,-1.687762,0
20,2019-01-30,sh.600515,8.9446672000,9.1181629000,8.9446672000,8.9639445000,8.9832218000,3293726,15410134.0000,1,0.198621,1,-0.214587,0
21,2019-01-31,sh.600515,9.0988856000,9.0988856000,8.3277936000,8.4049028000,8.9639445000,12973277,57994393.0000,1,0.782326,1,-6.236558,0
22,2019-02-01,sh.600515,8.4434574000,8.6362304000,8.4434574000,8.6362304000,8.4049028000,4903327,21761431.0000,1,0.295685,1,2.752291,0
23,2019-02-11,sh.600515,8.6555077000,9.0217764000,8.5976758000,8.9832218000,8.6362304000,6835978,31415374.0000,1,0.412229,1,4.017853,0
24,2019-02-12,sh.600515,8.9639445000,9.1759948000,8.9061126000,9.1181629000,8.9832218000,5895600,27790519.0000,1,0.355522,1,1.502150,0
25,2019-02-13,sh.600515,9.1759948000,9.2723813000,9.0217764000,9.2338267000,9.1181629000,6388254,30416214.0000,1,0.385230,1,1.268498,0
26,2019-02-14,sh.600515,9.2338267000,9.3494905000,9.1759948000,9.2723813000,9.2338267000,6610213,31795714.0000,1,0.398615,1,0.417536,0
27,2019-02-15,sh.600515,9.2916586000,9.3302132000,9.1759948000,9.1952721000,9.2723813000,5058857,24308354.0000,1,0.305064,1,-0.831600,0
28,2019-02-18,sh.600515,9.2338267000,9.7543138000,9.2338267000,9.6579273000,9.1952721000,11591924,57252917.0000,1,0.699026,1,5.031452,0
29,2019-02-19,sh.600515,9.6193727000,9.9856414000,9.5808181000,9.6964819000,9.6579273000,12736024,64416825.0000,1,0.768019,1,0.399201,0
30,2019-02-20,sh.600515,9.6772046000,9.9085322000,9.6000954000,9.8892549000,9.6964819000,14475492,73333673.0000,1,0.872914,1,1.988070,0
31,2019-02-21,sh.600515,9.9085322000,9.9278095000,9.7157592000,9.7543138000,9.8892549000,11873146,60360102.0000,1,0.715985,1,-1.364526,0
32,2019-02-22,sh.600515,9.7157592000,9.8699776000,9.6772046000,9.8507003000,9.7543138000,10619287,53913580.0000,1,0.640374,1,0.988146,0
33,2019-02-25,sh.600515,9.9278095000,10.7374561000,9.8892549000,10.6410696000,9.8507003000,28391681,153379279.0000,1,1.712100,1,8.023480,0
34,2019-02-26,sh.600515,10.7374561000,11.3157751000,10.4675739000,11.0073383000,10.6410696000,36429405,206812997.0000,1,2.196798,1,3.442030,0
35,2019-02-27,sh.600515,11.1230021000,11.2772205000,10.7760107000,10.9109518000,11.0073383000,27343199,157150975.0000,1,1.648874,1,-0.875660,0
36,2019-02-28,sh.600515,10.9880610000,11.1808340000,10.7567334000,10.8916745000,10.9109518000,19101668,108886897.0000,1,1.151886,1,-0.176674,0
37,2019-03-01,sh.600515,10.9880610000,11.0458929000,10.7181788000,10.8531199000,10.8916745000,12750495,71543971.0000,1,0.768892,1,-0.353982,0
38,2019-03-04,sh.600515,10.8531199000,11.2964978000,10.8531199000,11.0458929000,10.8531199000,35553381,205461824.0000,1,2.143972,1,1.776197,0
39,2019-03-05,sh.600515,11.0073383000,11.4121616000,10.9495064000,11.2386659000,11.0458929000,34409244,199939877.0000,1,2.074977,1,1.745199,0
40,2019-03-06,sh.600515,11.2772205000,12.3567493000,11.1037248000,12.1446990000,11.2386659000,74353698,448217828.0000,1,4.483743,1,8.061754,0
41,2019-03-07,sh.600515,11.8169849000,12.1446990000,11.6627665000,12.0290352000,12.1446990000,72937422,450692808.0000,1,4.398337,1,-0.952388,0
42,2019-03-08,sh.600515,11.7784303000,11.7977076000,10.8338426000,10.8531199000,12.0290352000,61910294,365550988.0000,1,3.733370,1,-9.775636,0
43,2019-03-11,sh.600515,10.9880610000,11.1808340000,10.7760107000,11.1808340000,10.8531199000,30697542,175240374.0000,1,1.851150,1,3.019539,0
44,2019-03-12,sh.600515,11.1808340000,11.4892708000,11.1808340000,11.4314389000,11.1808340000,55689557,327324306.0000,1,3.358241,1,2.241373,0
45,2019-03-13,sh.600515,11.4314389000,11.6627665000,11.2386659000,11.6627665000,11.4314389000,58179614,346220863.0000,1,3.508399,1,2.023615,0
46,2019-03-14,sh.600515,11.6242119000,12.0675898000,11.4121616000,11.7977076000,11.6627665000,45388605,275411854.0000,1,2.737064,1,1.157020,0
47,2019-03-15,sh.600515,11.9326487000,12.2989174000,11.7977076000,12.0097579000,11.7977076000,49877319,310267723.0000,1,3.007746,1,1.797388,0
48,2019-03-18,sh.600515,12.1639763000,12.6266315000,11.8940941000,12.5880769000,12.0097579000,79640145,507430020.0000,1,4.802531,1,4.815413,0
