,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
0,2019-01-02,sh.603871,48.6820901500,49.0625290600,48.0621156300,48.4848255300,48.6820901500,293320,10101258.0000,1,1.047571,1,-0.405208,0
1,2019-01-03,sh.603871,48.8652644400,48.8652644400,47.1321538500,47.5125927600,48.4848255300,452357,15365244.0000,1,1.615561,1,-2.005227,0
2,2019-01-04,sh.603871,46.5121793300,48.3439222300,46.2585533900,48.1466576100,47.5125927600,605140,20436960.0000,1,2.161214,1,1.334510,0
3,2019-01-07,sh.603871,48.2875609100,49.2879743400,48.1466576100,48.9638967500,48.1466576100,520333,17989717.0000,1,1.858332,1,1.697401,0
4,2019-01-08,sh.603871,48.7525418000,48.9638967500,48.2734705800,48.4425545400,48.9638967500,368753,12691846.0000,1,1.316975,1,-1.064745,0
5,2019-01-09,sh.603871,48.7102708100,49.6825035800,48.3298319000,48.8511741100,48.4425545400,654999,22782392.0000,1,2.339282,1,0.843505,0
6,2019-01-10,sh.603871,48.9638967500,49.0061677400,48.3861932200,48.6257288300,48.8511741100,442140,15284173.0000,1,1.579071,1,-0.461494,0
7,2019-01-11,sh.603871,48.7948127900,50.7251880000,48.4284642100,50.5842847000,48.6257288300,980420,34563189.0000,1,3.501500,1,4.027827,0
8,2019-01-14,sh.603871,50.5279233800,50.5561040400,49.1752517000,49.3020646700,50.5842847000,826420,29176227.0000,1,2.951500,1,-2.534818,0
9,2019-01-15,sh.603871,49.5838712700,51.1056269100,49.3584259900,50.7533686600,49.3020646700,1135118,40572588.0000,1,4.053993,1,2.943695,0
10,2019-01-16,sh.603871,50.8520009700,51.2465302100,50.3729297500,50.4715620600,50.7533686600,643459,23126696.0000,1,2.298068,1,-0.555249,0
11,2019-01-17,sh.603871,50.3870200800,50.7956396500,49.8656778700,49.9924908400,50.4715620600,449879,16058477.0000,1,1.606711,1,-0.949191,0
12,2019-01-18,sh.603871,49.9784005100,51.1338075700,49.8656778700,50.6688266800,49.9924908400,814780,29132422.0000,1,2.909929,1,1.352874,0
13,2019-01-21,sh.603871,50.5842847000,51.2606205400,50.4715620600,51.0069946000,50.6688266800,603660,21831151.0000,1,2.155929,1,0.667413,0
14,2019-01-22,sh.603871,51.0633559200,52.9655504700,50.6688266800,51.8946853900,51.0069946000,1359419,50195520.0000,1,4.855068,1,1.740334,0
15,2019-01-23,sh.603871,51.4437948300,52.8105568400,51.4437948300,52.6696535400,51.8946853900,1002040,37243135.0000,1,3.578714,1,1.493346,0
16,2019-01-24,sh.603871,52.5710212300,52.5710212300,51.7256014300,51.9792273700,52.6696535400,730344,26995666.0000,1,2.608371,1,-1.310866,0
17,2019-01-25,sh.603871,51.9792273700,52.4301179300,51.2183495500,51.7537820900,51.9792273700,859600,31656828.0000,1,3.070000,1,-0.433721,0
18,2019-01-28,sh.603871,52.0778596800,52.2610339700,50.9224526200,51.3451625200,51.7537820900,644840,23629718.0000,1,2.303000,1,-0.789548,0
19,2019-01-29,sh.603871,51.3733431800,51.4297045000,49.5838712700,51.1760785600,51.3451625200,903680,32459873.0000,1,3.227429,1,-0.329305,0
20,2019-01-30,sh.603871,51.0069946000,53.5291636700,50.2883877700,52.7682858500,51.1760785600,1348900,50453756.0000,1,4.817500,1,3.111236,0
21,2019-01-31,sh.603871,52.7401051900,53.0641827800,51.0069946000,51.6410594500,52.7682858500,1133200,41777970.0000,1,4.047143,1,-2.136179,0
22,2019-02-01,sh.603871,52.0637693500,53.3741700400,51.5706078000,52.9373698100,51.6410594500,835755,31241335.0000,1,2.984839,1,2.510227,0
23,2019-02-11,sh.603871,52.9937311300,54.6704804000,52.9937311300,54.3323124800,52.9373698100,1004180,38502166.0000,1,3.586357,1,2.635086,0
24,2019-02-12,sh.603871,54.3182221500,54.3182221500,53.7123379600,54.0082348900,54.3323124800,1057945,40478498.0000,1,3.778375,1,-0.596472,0
25,2019-02-13,sh.603871,53.9941445600,54.6282094100,53.5432540000,54.2336801700,54.0082348900,1134060,43491106.0000,1,4.050214,1,0.417427,0
26,2019-02-14,sh.603871,54.5436674300,55.3749969000,54.1068672000,54.4450351200,54.2336801700,955823,37070849.0000,1,3.413654,1,0.389706,0
27,2019-02-15,sh.603871,54.3604931400,54.3604931400,53.2191764100,53.3741700400,54.4450351200,1065765,40549660.0000,1,3.806304,1,-1.966869,0
28,2019-02-18,sh.603871,53.8109702700,55.1636419500,53.5855249900,54.9522870000,53.3741700400,1157860,44623738.0000,1,4.135214,1,2.956702,0
29,2019-02-19,sh.603871,54.8113837000,55.3468162400,53.6841573000,54.3604931400,54.9522870000,1108847,42842853.0000,1,3.960168,1,-1.076918,0
30,2019-02-20,sh.603871,54.2477705000,54.3041318200,53.3037183900,53.8673315900,54.3604931400,740107,28242672.0000,1,2.643239,1,-0.907212,0
31,2019-02-21,sh.603871,53.9800542300,54.7409320500,53.2755377300,53.3741700400,53.8673315900,963707,36936574.0000,1,3.441811,1,-0.915507,0
32,2019-02-22,sh.603871,53.4587120200,54.6422997400,53.1628150900,54.2759511600,53.3741700400,882620,33842071.0000,1,3.152214,1,1.689544,0
33,2019-02-25,sh.603871,55.1072806300,56.6290362700,55.1072806300,56.3331393400,54.2759511600,2034011,80378467.0000,1,7.264325,1,3.790236,0
34,2019-02-26,sh.603871,56.3613200000,56.8967525400,55.1918226100,55.7977068000,56.3331393400,1687333,67138814.0000,1,6.026189,1,-0.950478,0
35,2019-02-27,sh.603871,56.0795134000,56.5304039600,54.7832030400,55.5299905300,55.7977068000,1229600,48597238.0000,1,4.391429,1,-0.479795,0
36,2019-02-28,sh.603871,55.5299905300,55.9386101000,54.8818353500,55.5018098700,55.5299905300,883330,34718645.0000,1,3.154750,1,-0.050750,0
37,2019-03-01,sh.603871,55.5299905300,55.8822487800,54.8959256800,55.8117971300,55.5018098700,929940,36535198.0000,1,3.321214,1,0.558520,0
38,2019-03-04,sh.603871,56.3613200000,58.1789725700,56.3613200000,56.8826622100,55.8117971300,1915937,78197876.0000,1,6.842632,1,1.918703,0
39,2019-03-05,sh.603871,56.6431266000,57.6999013500,56.1358747200,57.4603657400,56.8826622100,1460062,59360679.0000,1,5.214507,1,1.015605,0
40,2019-03-06,sh.603871,57.4603657400,59.5316442500,57.0658365000,59.0384827000,57.4603657400,1888464,78864434.0000,1,6.744514,1,2.746451,0
41,2019-03-07,sh.603871,59.0948440200,63.3783043400,58.7566761000,61.7860970500,59.0384827000,2190026,95577700.0000,1,7.821521,1,4.653931,0
42,2019-03-08,sh.603871,61.1520322000,67.1263321200,59.1793860000,63.2374010400,61.7860970500,2883991,131617447.0000,1,10.299968,1,2.348923,0
43,2019-03-11,sh.603871,63.2092203800,66.8304351900,63.2092203800,66.5063576000,63.2374010400,1929823,90110920.0000,1,6.892225,1,5.169340,0
44,2019-03-12,sh.603871,66.2950026500,66.6472609000,64.8155180000,65.7454797800,66.5063576000,1941222,90522513.0000,1,6.932936,1,-1.144070,0
45,2019-03-13,sh.603871,66.2245510000,66.6472609000,64.3646274400,64.9564213000,65.7454797800,1432996,66049112.0000,1,5.117843,1,-1.200174,0
46,2019-03-14,sh.603871,64.5337114000,64.7591566800,61.5606517700,64.2519048000,64.9564213000,1531961,68594701.0000,1,5.471289,1,-1.084599,0
47,2019-03-15,sh.603871,64.6323437100,66.9008868400,64.3223564500,65.5482151600,64.2519048000,1330567,61756428.0000,1,4.752025,1,2.017548,0
48,2019-03-18,sh.603871,65.5482151600,67.8449389500,64.3646274400,67.0699708000,65.5482151600,1107640,52436404.0000,1,3.955857,1,2.321578,0
49,2019-03-19,sh.603871,66.8022545300,68.1831068700,66.1118283600,67.3517774000,67.0699708000,1039689,49271858.0000,1,3.713175,1,0.420170,0
50,2019-03-20,sh.603871,67.4785903700,68.0562939000,65.7877507700,66.8163448600,67.3517774000,958140,45278494.0000,1,3.421929,1,-0.794981,0
51,2019-03-21,sh.603871,66.9008868400,73.4951612800,66.9008868400,73.3542579800,66.8163448600,3034485,155377907.0000,1,10.837446,1,9.784908,0
52,2019-03-22,sh.603871,73.2838063300,73.3542579800,70.7475469300,71.6493280500,73.3542579800,1528649,77710544.0000,1,5.459461,1,-2.324247,0
53,2019-03-25,sh.603871,70.9025405600,72.0861282800,70.2121143900,70.4234693400,71.6493280500,993534,50081272.0000,1,3.548336,1,-1.710912,0
54,2019-03-26,sh.603871,71.0716245200,71.6915990400,68.0703842300,68.5353651200,70.4234693400,893847,43929487.0000,1,3.192311,1,-2.681073,0
55,2019-03-27,sh.603871,68.8735330400,70.3811983500,68.1690165400,69.8034948200,68.5353651200,712846,34940414.0000,1,2.545879,1,1.850332,0
56,2019-03-28,sh.603871,69.7471335000,71.5647860700,69.7471335000,69.8880368000,69.8034948200,815224,40927155.0000,1,2.911514,1,0.121109,0
57,2019-03-29,sh.603871,70.2966563700,71.6915990400,69.3244236000,71.4379731000,69.8880368000,1262436,63544794.0000,1,4.508700,1,2.217746,0
58,2019-04-01,sh.603871,71.5647860700,73.5092516100,71.3111601300,73.2697160000,71.4379731000,1056448,54347939.0000,1,3.773029,1,2.564101,0
59,2019-04-02,sh.603871,73.5233419400,78.7649447000,73.5092516100,76.3132272800,73.2697160000,1794301,97360470.0000,1,6.408218,1,4.153846,0
60,2019-04-03,sh.603871,76.3132272800,80.3007906700,75.8200657300,77.0741051000,76.3132272800,1569763,87193625.0000,1,5.606296,1,0.997047,0
61,2019-04-04,sh.603871,77.2009180700,78.0181572100,76.2005046400,77.0036534500,77.0741051000,812080,44326066.0000,1,2.900286,1,-0.091406,0
62,2019-04-08,sh.603871,77.2150084000,77.3559117000,72.9456384100,73.2697160000,77.0036534500,1764364,92859253.0000,1,6.301300,1,-4.849042,0
63,2019-04-09,sh.603871,73.4528902900,74.0869551400,72.8751867600,73.8051485400,73.2697160000,752007,39215803.0000,1,2.685739,1,0.730771,0
64,2019-04-10,sh.603871,73.8615098600,75.7496140800,71.2970698000,75.1296395600,73.8051485400,1084683,56787025.0000,1,3.873868,1,1.794575,0
65,2019-04-11,sh.603871,75.1578202200,75.2282718700,71.6493280500,72.6356511500,75.1296395600,972776,50760918.0000,1,3.474200,1,-3.319581,0
66,2019-04-12,sh.603871,72.7342834600,74.3687617400,72.5651995000,73.2415353400,72.6356511500,689770,35992781.0000,1,2.463464,1,0.834142,0
67,2019-04-15,sh.603871,74.8337426300,76.8345694900,74.1574067900,75.6509817700,73.2415353400,1426872,76693050.0000,1,5.095971,1,3.289725,0
68,2019-04-16,sh.603871,74.6646586700,74.6787490000,69.0285266700,73.1710836900,75.6509817700,1476750,76060246.0000,1,5.274107,1,-3.278075,0
69,2019-04-17,sh.603871,73.4669806200,75.5805301200,73.4669806200,74.6082973500,73.1710836900,937433,49758700.0000,1,3.347975,1,1.964183,0
70,2019-04-18,sh.603871,75.6791624300,76.0736916700,73.1288127000,73.3119869900,74.6082973500,840922,44166843.0000,1,3.003293,1,-1.737492,0
71,2019-04-19,sh.603871,73.1288127000,74.6082973500,72.5792898300,73.0865417100,73.3119869900,908402,47312869.0000,1,3.244293,1,-0.307515,0
72,2019-04-22,sh.603871,73.5515226000,73.5515226000,69.8316754800,70.2402950500,73.0865417100,1828333,92267768.0000,1,6.529761,1,-3.894352,0
73,2019-04-23,sh.603871,70.9870825400,71.6775087100,69.2117009600,69.2117009600,70.2402950500,1000220,50102762.0000,1,3.572214,1,-1.464392,0
74,2019-04-24,sh.603871,70.0289401000,70.2684757100,67.9153906000,69.6062302000,69.2117009600,985780,48551091.0000,1,3.520643,1,0.570038,0
75,2019-04-25,sh.603871,69.8598561400,69.8598561400,66.2245510000,66.2809123200,69.6062302000,966272,46452688.0000,1,3.450971,1,-4.777329,0
76,2019-04-26,sh.603871,66.8867965100,68.1549262100,64.8296083300,65.9709250600,66.2809123200,1088127,51666410.0000,1,3.886168,1,-0.467690,0
77,2019-04-29,sh.603871,66.1118283600,68.1267455500,64.9564213000,66.5627189200,65.9709250600,1197704,56624488.0000,1,4.277514,1,0.897057,0
78,2019-04-30,sh.603871,66.5908995800,67.3517774000,65.8018411000,66.2950026500,66.5627189200,761693,36039930.0000,1,2.720332,1,-0.402207,0
79,2019-05-06,sh.603871,63.3923946700,64.5478017300,59.6725475500,60.1375284400,66.2950026500,1055877,46389699.0000,1,3.770989,1,-9.287989,0
80,2019-05-07,sh.603871,60.1797994300,61.7156454000,59.2075666600,60.0248058000,60.1375284400,766858,32875460.0000,1,2.738779,1,-0.187446,0
81,2019-05-08,sh.603871,59.1371150100,60.6025093300,58.1789725700,60.2361607500,60.0248058000,773287,32793319.0000,1,2.761739,1,0.352116,0
82,2019-05-09,sh.603871,59.8134508500,60.8561352700,59.2639279800,59.2921086400,60.2361607500,523585,22202758.0000,1,1.869946,1,-1.567247,0
83,2019-05-10,sh.603871,59.8839025000,61.6170130900,58.4607791700,61.1097612100,59.2921086400,830288,35571117.0000,1,2.965314,1,3.065582,0
84,2019-05-13,sh.603871,61.1097612100,61.1097612100,59.7570895300,60.0388961300,61.1097612100,557687,23881454.0000,1,1.991739,1,-1.752360,0
85,2019-05-14,sh.603871,59.4752829300,60.5179673500,59.0103020400,59.1371150100,60.0388961300,691750,29251076.0000,1,2.470536,1,-1.501993,0
86,2019-05-15,sh.603871,59.4611926000,61.2083935200,59.2216569900,60.8420449400,59.1371150100,1032920,44205195.0000,1,3.689000,1,2.883009,0
87,2019-05-16,sh.603871,60.8984062600,61.8142777100,60.6165996600,61.5042904500,60.8420449400,803905,35024091.0000,1,2.871089,1,1.088470,0
88,2019-05-17,sh.603871,61.5747421000,61.6733744100,57.2490107900,57.6012690400,61.5042904500,1242720,52223000.0000,1,4.438286,1,-6.345934,0
89,2019-05-20,sh.603871,57.6153593700,58.2635145500,56.5867652800,57.9676176200,57.6012690400,554187,22613883.0000,1,1.979239,1,0.636004,0
90,2019-05-21,sh.603871,57.7844433300,59.7148185400,57.3476431000,59.5739152400,57.9676176200,736345,30769703.0000,1,2.629804,1,2.771024,0
91,2019-05-22,sh.603871,59.1793860000,60.8279546100,59.0103020400,60.1093477800,59.5739152400,824358,35280264.0000,1,2.944136,1,0.898773,0
92,2019-05-23,sh.603871,60.0107154700,60.3066124000,58.5171404900,58.7003147800,60.1093477800,480740,20166820.0000,1,1.716929,1,-2.344116,0
93,2019-05-24,sh.603871,58.7003147800,59.5598249100,57.9253466300,58.5453211500,58.7003147800,313040,13002211.0000,1,1.118000,1,-0.264044,0
94,2019-05-27,sh.603871,58.6016824700,60.0248058000,57.8408046500,59.7148185400,58.5453211500,549660,23090912.0000,1,1.963071,1,1.997598,0
95,2019-05-28,sh.603871,59.6866378800,60.5038770200,59.4189216100,59.7429992000,59.7148185400,448580,19060672.0000,1,1.602071,1,0.047193,0
96,2019-05-29,sh.603871,60.4475157000,60.9265869200,60.0107154700,60.3066124000,59.7429992000,794716,34091640.0000,1,2.838271,1,0.943391,0
97,2019-05-30,sh.603871,60.1375284400,60.3770640500,58.6439534600,59.8839025000,60.3066124000,509010,21394292.0000,1,1.817893,1,-0.700933,0
98,2019-05-31,sh.603871,59.7429992000,60.9970385700,59.1793860000,60.7997739500,59.8839025000,672724,28832731.0000,1,2.402586,1,1.529415,0
99,2019-06-03,sh.603871,62.8428718000,65.2945892200,60.6588706500,61.4338388000,60.7997739500,1258680,55687844.0000,1,4.495286,1,1.042867,0
100,2019-06-04,sh.603871,59.4611926000,60.4475157000,57.0658365000,58.3057855400,61.4338388000,1047460,43512350.0000,1,3.740929,1,-5.091737,0
101,2019-06-05,sh.603871,58.3257685400,58.9048330000,57.5070912000,57.9264137400,58.3058008000,464606,13586055.0000,1,1.185219,1,-0.650687,0
102,2019-06-06,sh.603871,57.5270589400,58.0462201800,54.9112850000,55.1908333600,57.9264137400,1193768,33357730.0000,1,3.045327,1,-4.722513,0
