,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
0,2019-01-02,sh.600085,242.2867122500,242.7267535000,232.1657635000,234.5419862500,242.0226875000,3002072,80354328.0000,1,0.218894,1,-3.090910,0
1,2019-01-03,sh.600085,234.5419862500,236.3021512500,231.4616975000,233.6619037500,234.5419862500,1575986,41769353.0000,1,0.114912,1,-0.375236,0
2,2019-01-04,sh.600085,232.9578377500,236.9182090000,229.5255160000,236.0381265000,233.6619037500,1945105,51803676.0000,1,0.141826,1,1.016951,0
3,2019-01-07,sh.600085,236.0381265000,236.3901595000,232.8698295000,234.4539780000,236.0381265000,3502097,93262112.0000,1,0.255353,1,-0.671142,0
4,2019-01-08,sh.600085,233.6619037500,233.6619037500,231.1976727500,231.7257222500,234.4539780000,3266613,86041313.0000,1,0.238183,1,-1.163662,0
5,2019-01-09,sh.600085,231.8137305000,238.5023575000,231.1976727500,235.3340605000,231.7257222500,4642879,124284713.0000,1,0.338533,1,1.557159,0
6,2019-01-10,sh.600085,236.7421925000,237.4462585000,234.0139367500,235.2460522500,235.3340605000,3470157,92864914.0000,1,0.253025,1,-0.037398,0
7,2019-01-11,sh.600085,235.4220687500,237.6222750000,235.4220687500,237.2702420000,235.2460522500,2497037,67152107.0000,1,0.182070,1,0.860455,0
8,2019-01-14,sh.600085,235.8621100000,237.1822337500,232.6058047500,233.6619037500,237.2702420000,3743289,99546431.0000,1,0.272940,1,-1.520771,0
9,2019-01-15,sh.600085,233.9259285000,235.2460522500,229.7895407500,234.8060110000,233.6619037500,6991702,184429246.0000,1,0.509796,1,0.489646,0
10,2019-01-16,sh.600085,233.6619037500,238.6783740000,232.0777552500,237.3582502500,234.8060110000,5231747,140095159.0000,1,0.381470,1,1.086953,0
11,2019-01-17,sh.600085,237.1822337500,237.1822337500,232.3417800000,232.4297882500,237.3582502500,6546188,173922798.0000,1,0.477312,1,-2.076379,0
12,2019-01-18,sh.600085,232.6938130000,235.5980852500,231.4616975000,234.1899532500,232.4297882500,5778344,153545503.0000,1,0.421325,1,0.757292,0
13,2019-01-21,sh.600085,234.2779615000,240.8785802500,234.2779615000,238.3263410000,234.1899532500,6821158,184757849.0000,1,0.497361,1,1.766251,0
14,2019-01-22,sh.600085,238.9423987500,239.7344730000,235.0700357500,236.3021512500,238.3263410000,3372616,90448608.0000,1,0.245912,1,-0.849334,0
15,2019-01-23,sh.600085,236.5661760000,237.2702420000,234.2779615000,236.8302007500,236.3021512500,3612795,96741019.0000,1,0.263425,1,0.223462,0
16,2019-01-24,sh.600085,237.2702420000,237.2702420000,233.2218625000,234.8940192500,236.8302007500,4931962,131724593.0000,1,0.359611,1,-0.817537,0
17,2019-01-25,sh.600085,235.3340605000,236.4781677500,234.6299945000,235.4220687500,234.8940192500,2962261,79331688.0000,1,0.215992,1,0.224801,0
18,2019-01-28,sh.600085,236.4781677500,237.0062172500,233.3978790000,234.1899532500,235.4220687500,3419929,91341293.0000,1,0.249362,1,-0.523362,0
19,2019-01-29,sh.600085,234.3659697500,234.9820275000,232.4297882500,234.1019450000,234.1899532500,2704163,71790118.0000,1,0.197173,1,-0.037581,0
20,2019-01-30,sh.600085,233.9259285000,234.4539780000,232.4297882500,232.9578377500,234.1019450000,1916529,50849923.0000,1,0.139743,1,-0.488726,0
21,2019-01-31,sh.600085,233.8379202500,234.8940192500,231.2856810000,232.1657635000,232.9578377500,2310637,61150049.0000,1,0.168479,1,-0.340008,0
22,2019-02-01,sh.600085,232.6058047500,237.7982915000,232.6058047500,237.1822337500,232.1657635000,4041618,108277348.0000,1,0.294692,1,2.160734,0
23,2019-02-11,sh.600085,237.6222750000,241.6706545000,236.4781677500,241.3186215000,237.1822337500,6828355,185981061.0000,1,0.497886,1,1.743968,0
24,2019-02-12,sh.600085,240.7025637500,249.6794052500,240.4385390000,247.7432237500,241.3186215000,9886873,277779869.0000,1,0.720896,1,2.662289,0
